x, y
0.000271704,0.030828431
0.001115983,0.030828431
0.00196026,0.034682081
0.002635683,0.034682081
0.003902099,0.038535731
0.005084086,0.042389124
0.006381204,0.046032439
0.007299165,0.052478624
0.00835835,0.058924552
0.009417535,0.068593445
0.010406107,0.078262337
0.011394677,0.091154194
0.012242026,0.100823343
0.013159987,0.116938164
0.014219172,0.133052984
0.015207744,0.15561399
0.015984478,0.171728811
0.016902439,0.194289816
0.0178204,0.22007353
0.018667746,0.245857499
0.019444483,0.271641213
0.020079993,0.297425182
0.020644891,0.319985931
0.021421626,0.355438794
0.022127751,0.387668692
0.022763261,0.416675369
0.023328159,0.448905267
0.023822445,0.477911945
0.024316732,0.506918879
0.02488163,0.539148777
0.025305305,0.571378418
0.025799591,0.603608316
0.026293877,0.639061179
0.026858776,0.677737005
0.027282447,0.713189611
0.027706122,0.742196545
0.028200408,0.784095335
0.028694694,0.825993997
0.029188981,0.864669824
0.029683267,0.900122558
0.030177553,0.942021348
0.030671837,0.977474082
0.031377962,1.019372873
0.032013475,1.045156714
0.032648982,1.070940556
0.033355107,1.093501433
0.034131844,1.116062311
0.034837964,1.135400224
0.035755924,1.154738137
0.036603273,1.170852958
0.037450622,1.186967907
0.038439195,1.199859892
0.038439195,1.199859892
0.038439195,1.235312626
0.038509807,1.273988452
0.038509807,1.306218222
0.038509807,1.348117013
0.039215926,1.354562941
0.040063275,1.357785905
0.040981236,1.361008869
0.041969809,1.367454926
0.042958381,1.37067789
0.044017566,1.377123818
0.045288586,1.383569746
0.046347771,1.390015803
0.047336344,1.393238767
0.048607364,1.399684696
0.049807773,1.406130624
0.050866958,1.409353588
0.052137984,1.415799645
0.053479616,1.419022609
0.055174314,1.425468537
0.056445334,1.431914465
0.057998802,1.438360522
0.059128599,1.441583486
0.060399619,1.44480645
0.061741257,1.451252379
0.062800442,1.454475343
0.064283298,1.460921271
0.065201259,1.457698307
0.065836772,1.441583486
0.066260444,1.406130624
0.066542892,1.364231833
0.066684116,1.325556135
0.066825345,1.28043438
0.066969634,1.234401813
0.067070948,1.188159039
0.067121606,1.141916264
0.067121606,1.100297793
0.067121606,1.051742866
0.067121606,1.017060785
0.067273576,0.97544225
0.06737489,0.931511627
0.067526859,0.892205307
0.067628173,0.84827462
0.067830798,0.8089683
0.068084081,0.762725461
0.068388023,0.725731293
0.0689959,0.695673515
0.069654439,0.681800606
0.070616914,0.672552128
0.071579392,0.663303522
0.072592525,0.651742828
0.073555,0.64249435
0.074416163,0.635557831
0.075277327,0.628621441
0.075986521,0.62168505
0.076999654,0.612436444
0.077911471,0.605500053
0.078671321,0.598563663
0.079735115,0.589315057
0.080697587,0.582378666
0.08171072,0.575442276
0.082673198,0.573130188
0.083635676,0.566193669
0.084598153,0.561569495
0.08550997,0.556945191
0.086472447,0.556945191
0.087434925,0.554632976
0.088346747,0.552320888
0.089157252,0.552320888
0.089917102,0.550008801
