x,y
0.000273834,9999999.99
-0.030730221,9999999.99
-0.02990872,9999999.99
-0.028904665,9999999.99
-0.027809331,9999999.99
-0.026805273,9999999.99
-0.025892495,9999999.99
-0.024888437,9988888.91
-0.023975659,9988888.91
-0.023154158,9988888.91
-0.022332657,9988888.91
-0.021419876,9977777.83
-0.020507098,9977777.83
-0.019503041,9966666.75
-0.018407706,9944444.4
-0.017403651,9922222.24
-0.01649087,9888888.9
-0.015486816,9844444.4
-0.014574035,9822222.23
-0.013569977,9755555.57
-0.012748476,9711111.06
-0.012018255,9633333.4
-0.011379308,9566666.73
-0.010740366,9488888.89
-0.010101419,9411111.05
-0.009462472,9311111.05
-0.009006084,9200000.05
-0.008458417,9077777.71
-0.00791075,8977777.7
-0.007454362,8844444.36
-0.006997969,8722222.2
-0.006541581,8600000.04
-0.006085194,8477777.69
-0.00572008,8355555.52
-0.005446247,8244444.53
-0.005172413,8133333.17
-0.004898579,8022222.18
-0.004533466,7899999.83
-0.004259632,7766666.49
-0.003985798,7644444.51
-0.003620691,7533333.15
-0.003418218,7406262.58
-0.003102895,7252726.97
-0.002787573,7114545.22
-0.002598379,6984040.22
-0.002346118,6853535.21
-0.00209386,6715353.46
-0.001715473,6584848.46
-0.001400147,6431312.85
-0.001147889,6277777.62
-0.000895631,6162626.1
-0.000643373,6039797.84
-0.000391112,5909292.83
-0.000138854,5748080.48
0.000176469,5625252.22
0.000491795,5502423.96
0.000807117,5371918.95
0.001185504,5241413.95
0.001563895,5126262.43
0.001942282,5018788.02
0.002446801,4911312.88
0.002888253,4811514.85
0.003518901,4704040.44
0.004212614,4573535.43
0.00471713,4481413.96
0.005284713,4404646.16
0.005915359,4327878.36
0.006482942,4243434.18
0.007113591,4182019.86
0.0078073,4112929.17
0.008627142,4059191.6
0.009573113,3997777.66
0.010456022,3944040.08
0.011338926,3890302.88
0.012284897,3844242.05
0.013104738,3798181.59
0.013987642,3752120.76
0.014870551,3706060.3
0.01606878,3636969.24
0.017014751,3598585.53
0.017834593,3552525.07
0.018717496,3506464.24
0.019600405,3468080.52
0.020546376,3422020.06
0.021492347,3383635.98
0.02237525,3345252.26
0.023384289,3299191.8
0.024141063,3268484.46
0.024960905,3230100.74
0.025843814,3199393.77
0.026852847,3161009.68
0.027798817,3122625.97
0.028997046,3068888.39
0.030069146,3030505.05
0.031204314,2992120.96
0.032528672,2938383.39
0.033663839,2900000.04
0.034672871,2876969.44
0.035555781,2884645.81
0.036060297,2984443.85
0.036375623,3137979.45
0.036564813,3260807.71
0.03675401,3452727.04
0.036880139,3636969.24
0.037069335,3959393.57
0.037258526,4189696.61
0.037384655,4396969.42
0.037510784,4573535.25
0.037573852,4727070.49
0.037763048,4888282.46
0.03782611,5034141.33
0.038015306,5172323.07
0.038204497,5302828.08
0.038456755,5410302.85
0.038835148,5502424.14
0.039339664,5571514.83
0.040033377,5617575.66
0.04091628,5648282.64
0.041862256,5686666.54
0.042997417,5717373.51
0.044006455,5755757.6
0.045015488,5794141.31
0.046150655,5824848.29
0.047285817,5863232.37
0.048484052,5901616.09
0.049430023,5924646.32
0.050439055,5947676.55
0.051511155,5978383.89
0.052646322,5993737.38
0.054033748,6016767.61
0.055168909,6032121.09
0.056177948,6039797.84
0.057376176,6039797.84
0.058448276,6047474.58
0.05933118,6047474.58
