x,A
0,0.012698519
0.000148649,0.012698519
0.000297297,0.012698519
0.000445946,0.012698519
0.000594595,0.012698519
0.000743243,0.012698519
0.000891892,0.012698519
0.001040541,0.012698519
0.001189189,0.012698519
0.001337838,0.012698519
0.001486487,0.012698519
0.001635135,0.012698519
0.001783784,0.012698519
0.001932432,0.012698519
0.002081081,0.012698519
0.00222973,0.012698519
0.002378378,0.012698519
0.002527027,0.012698519
0.002675676,0.012698519
0.002824324,0.012698519
0.002972973,0.012698519
0.003121622,0.012698519
0.00327027,0.012698519
0.003418919,0.012698519
0.003567568,0.012698519
0.003716216,0.012698519
0.003864865,0.012698519
0.004013514,0.012698519
0.004162162,0.012698519
0.004310811,0.012698519
0.004459459,0.012698519
0.004608108,0.012698519
0.004756757,0.012698519
0.004905405,0.012698519
0.005054054,0.012698519
0.005202703,0.012698519
0.005351352,0.012698519
0.0055,0.012698519
0.005648649,0.012698519
0.005797297,0.012698519
0.005945946,0.012698519
0.006094594,0.012698519
0.006243243,0.012698519
0.006391892,0.012698519
0.006540541,0.012698519
0.006689189,0.012698519
0.006837838,0.012698519
0.006986486,0.012698519
0.007135135,0.012698519
0.007283784,0.012698519
0.007432432,0.012698519
0.007581081,0.012698519
0.00772973,0.012698519
0.007878378,0.012698519
0.008027027,0.012698519
0.008175676,0.012698519
0.008324324,0.012698519
0.008472973,0.012698519
0.008621622,0.012698519
0.00877027,0.012698519
0.008918919,0.012698519
0.009067568,0.012698519
0.009216216,0.012698519
0.009364865,0.012698519
0.009513513,0.012698519
0.009662163,0.012698519
0.009810811,0.012698519
0.009959459,0.012698519
0.010108108,0.012698519
0.010256757,0.012698519
0.010405405,0.012698519
0.010554054,0.012698519
0.010702703,0.012698519
0.010851352,0.012698519
0.011149715,0.012694027
0.01129943,0.012689536
0.011449145,0.012685044
0.01159886,0.012680552
0.011748576,0.01267606
0.01189829,0.012671568
0.012047812,0.012663477
0.012197149,0.012651931
0.012346486,0.012640383
0.012495822,0.012628837
0.012644983,0.012615548
0.012793595,0.012596862
0.012942207,0.012578177
0.013090819,0.012559491
0.013239431,0.012540805
0.013388044,0.012522119
0.013536656,0.012503434
0.013685268,0.012484748
0.013833251,0.012462077
0.013980373,0.012433973
0.014127495,0.012405869
0.014274618,0.012377765
0.01442174,0.012349661
0.014568862,0.012321557
0.014715984,0.012293453
0.014863106,0.01226535
0.015010228,0.012237245
0.01515735,0.012209142
0.015304472,0.012181038
0.015450366,0.012147321
0.015595763,0.012111344
0.01574116,0.012075368
0.015886558,0.012039391
0.016031956,0.012003415
0.016177354,0.011967438
0.016322751,0.011931462
0.016468149,0.011895486
0.016611794,0.011853623
0.016753167,0.011804139
0.016894538,0.011754655
0.017035911,0.011705171
0.017177284,0.011655688
0.017318655,0.011606204
0.017460028,0.01155672
0.017601401,0.011507236
0.017742772,0.011457753
0.017884145,0.011408269
0.018025484,0.011358695
0.018166034,0.011306918
0.018306581,0.011255141
0.018447131,0.011203364
0.018587679,0.011151588
0.018728228,0.011099811
0.018868776,0.011048034
0.019009326,0.010996257
0.019149873,0.01094448
0.019290347,0.010892503
0.019430237,0.010838971
0.019570127,0.01078544
0.019710016,0.010731908
0.019849906,0.010678376
0.019989796,0.010624845
0.020129684,0.010571313
0.020269575,0.010517781
0.020409465,0.010464249
0.020549355,0.010410718
0.020689154,0.010356955
0.020828407,0.01030179
0.020967662,0.010246625
0.021106916,0.01019146
0.021246169,0.010136295
0.021385422,0.01008113
0.021524677,0.010025965
0.02166393,0.0099708
0.021802811,0.009914706
0.021941606,0.009858398
0.022080403,0.00980209
0.022219198,0.009745783
0.022357982,0.009689446
0.022496305,0.009631988
0.022634627,0.00957453
0.022772951,0.009517073
0.022911275,0.009459615
0.023049599,0.009402158
0.023187922,0.0093447
0.023326246,0.009287243
0.023464404,0.00922939
0.023602266,0.009170835
0.023740128,0.009112279
0.02387799,0.009053723
0.024015853,0.008995167
0.024153363,0.008935793
0.024290675,0.008875962
0.024427989,0.008816131
0.024565304,0.0087563
0.024702618,0.008696469
0.02483993,0.008636639
0.024977244,0.008576808
0.025114559,0.008516978
0.025251871,0.008457147
0.025389185,0.008397316
0.025526499,0.008337485
0.025663625,0.008277228
0.025800331,0.008216021
0.025937036,0.008154812
0.026073741,0.008093605
0.026210446,0.008032397
0.026347151,0.00797119
0.026483858,0.007909982
0.026620563,0.007848774
0.026757268,0.007787566
0.026893973,0.007726359
0.027030678,0.007665151
0.027167384,0.007603943
0.027304001,0.007542537
0.027440516,0.007480907
0.027577031,0.007419277
0.027713548,0.007357648
0.027850064,0.007296018
0.027986579,0.007234388
0.028123096,0.007172758
0.028259611,0.007111128
0.028396126,0.007049499
0.028532643,0.006987869
0.028669465,0.006926925
0.028806416,0.006866272
0.028943369,0.006805619
0.029080322,0.006744965
0.029217275,0.006684312
0.029354226,0.006623659
0.029491179,0.006563006
0.029628132,0.006502352
0.029765083,0.006441699
0.029902035,0.006381046
0.030038988,0.006320392
0.030176524,0.006261102
0.030314954,0.006203904
0.030453386,0.006146705
0.030591816,0.006089506
0.030730247,0.006032308
0.030868677,0.005975109
0.031007109,0.00591791
0.031145539,0.005860711
0.031283971,0.005803512
0.031422399,0.005746314
0.031560831,0.005689115
0.031699263,0.005631917
0.031837694,0.005574718
0.031978097,0.005522563
0.03211857,0.00547058
0.032259043,0.005418597
0.032399517,0.005366615
0.03253999,0.005314632
0.032680463,0.005262649
0.032820933,0.005210666
0.032961868,0.005159978
0.033103611,0.005111574
0.033245359,0.00506317
0.033388037,0.005017644
0.03353123,0.004973707
0.033674423,0.00492977
0.033817615,0.004885834
0.033960812,0.004841897
0.034104005,0.00479796
0.034247197,0.004754023
0.03439039,0.004710086
0.034534223,0.004668414
0.034679189,0.004630731
0.034824155,0.004593049
0.034969121,0.004555366
0.035114083,0.004517683
0.035259049,0.00448
0.035404745,0.004445347
0.03555093,0.004412707
0.03569711,0.004380068
0.035843294,0.004347429
0.035989478,0.00431479
0.036136486,0.004286295
0.036284015,0.004260404
0.03643154,0.004234512
0.036579069,0.004208621
0.036726598,0.00418273
0.036874123,0.004156839
0.037021652,0.004130947
0.037169181,0.004105056
0.037316706,0.004079164
0.037464399,0.00405438
0.037613068,0.004036149
0.037761737,0.004017919
0.037910406,0.00399969
0.038059074,0.003981459
0.038207743,0.003963229
0.038356412,0.003944999
0.038505081,0.003926769
0.038653884,0.003909823
0.03880316,0.003897556
0.03895244,0.003885289
0.03910172,0.003873023
0.039251,0.003860756
0.03940028,0.003848489
0.039549559,0.003836222
0.039698839,0.003823956
0.039848465,0.00381715
0.039998095,0.003810396
0.040147725,0.003803642
0.040297356,0.003796889
0.040446986,0.003790134
0.040596616,0.00378338
0.040746246,0.003776626
0.040895876,0.003769872
0.041045509,0.003763273
0.041195285,0.0037619
0.04134506,0.003760527
0.041494839,0.003759153
0.041644614,0.00375778
0.041794389,0.003756407
0.041944165,0.003755034
0.042093944,0.003753661
0.042243719,0.003752288
0.042393494,0.003750915
0.042543259,0.003751208
0.042692997,0.003754831
0.042842735,0.003758454
0.042992473,0.003762078
0.043142211,0.003765701
0.043291952,0.003769325
0.043441691,0.003772948
0.043591429,0.003776571
0.043741073,0.003782801
0.0438907,0.003789652
0.044040326,0.003796504
0.044189841,0.003805284
0.044339258,0.003815743
0.044488676,0.003826202
0.04463809,0.003836661
0.044787508,0.00384712
0.044936925,0.003857579
0.045086343,0.003868038
0.045235757,0.003878497
0.045385174,0.003888955
0.04553435,0.003902302
0.045683436,0.00391673
0.045832522,0.003931157
0.045981608,0.003945585
0.04613062,0.003960718
0.046279363,0.003978321
0.046428107,0.003995923
0.046576854,0.004013526
0.046725597,0.004031128
0.046874341,0.004048731
0.047023065,0.004066497
0.047171392,0.004087314
0.047319721,0.004108132
0.047468051,0.004128949
0.047616377,0.004149767
0.047764499,0.004171957
0.047912285,0.004196322
0.048060074,0.004220687
0.04820786,0.004245053
0.048355646,0.004269418
0.048503436,0.004293783
0.048651222,0.004318149
0.04879896,0.004342783
0.048945829,0.004372192
0.049092695,0.0044016
0.049239561,0.004431009
0.049386431,0.004460418
0.049533296,0.004489826
0.049680162,0.004519234
0.049827028,0.004548643
0.049973898,0.004578052
0.050120763,0.00460746
0.050267372,0.004638057
0.050413195,0.004672273
0.050559018,0.00470649
0.050704837,0.004740706
0.05085066,0.004774923
0.050996482,0.004809139
0.051142305,0.004843355
0.051287401,0.004880446
0.051432028,0.004919398
0.051576659,0.00495835
0.051721286,0.004997302
0.051865917,0.005036254
0.052010544,0.005075207
0.052155174,0.005114159
0.052299805,0.005153111
0.052444432,0.005192063
0.052589063,0.005231015
0.052732307,0.005274755
0.052875433,0.005318908
0.053018559,0.005363062
0.053161688,0.005407215
0.053304814,0.005451368
0.053447939,0.005495521
0.053591069,0.005539674
0.053734194,0.005583827
0.053876694,0.005629922
0.054018587,0.005677892
0.054160479,0.005725862
0.054302372,0.005773833
0.054444265,0.005821803
0.054586049,0.005870095
0.054727655,0.005918905
0.054869261,0.005967715
0.055011019,0.006016082
0.055152975,0.006063865
0.055294931,0.006111648
0.055436887,0.006159432
0.055578843,0.006207215
0.055721175,0.006253869
0.055863574,0.006300309
0.056005977,0.006346749
0.056148376,0.006393188
0.056290779,0.006439628
0.056433465,0.006485176
0.056576274,0.00653035
0.056719083,0.006575524
0.056861889,0.006620698
0.057005052,0.006664731
0.057148427,0.006708066
0.057291802,0.006751402
0.057435181,0.006794737
0.057578556,0.006838072
0.057721931,0.006881407
0.05786531,0.006924743
0.058008686,0.006968078
0.058152061,0.007011413
0.058295581,0.007054268
0.058439568,0.007095533
0.058583554,0.007136798
0.058727536,0.007178063
0.058871523,0.007219328
0.059015509,0.007260593
0.059159677,0.007301204
0.059304141,0.00734077
0.059448604,0.007380336
0.059593067,0.007419901
0.05973753,0.007459466
0.059881989,0.007499032
0.060026452,0.007538597
0.060171179,0.007577178
0.060316067,0.007615153
0.060460955,0.007653128
0.060605843,0.007691103
0.060750734,0.007729079
0.060895819,0.007766286
0.061041113,0.007802668
0.06118641,0.00783905
0.061331708,0.007875432
0.061477005,0.007911814
0.061622299,0.007948196
0.061767597,0.007984579
0.06191317,0.00801983
0.062058959,0.008054186
0.062204748,0.00808854
0.062350538,0.008122896
0.062496327,0.00815725
0.062632911,0.008189437
0.062749304,0.008216865
0.062865704,0.008244295
0.062970042,0.008268882
0.063044898,0.008286521
0.063117906,0.008303179
0.063191079,0.008319144
0.063264251,0.008335109
0.063337415,0.008351075
0.063410588,0.008367039
0.06348376,0.008383004
0.063556924,0.00839897
0.063630097,0.008414934
0.063703269,0.008430899
0.063776433,0.008446865
0.063849606,0.00846283
0.063922778,0.008478794
0.063995942,0.008494759
0.064069115,0.008510725
0.064142287,0.008526689
0.064215459,0.008542654
0.064288624,0.00855862
0.064361796,0.008574584
0.064434968,0.008590549
0.064508133,0.008606515
0.064581305,0.00862248
0.064654686,0.008637425
0.064728126,0.0086521
0.064801566,0.008666774
0.064875007,0.008681449
0.064948447,0.008696124
0.065021887,0.008710799
0.06509532,0.008725473
0.065168761,0.008740148
0.065242201,0.008754822
0.065315641,0.008769497
0.065389082,0.008784171
0.065462522,0.008798846
0.065535963,0.008813521
0.065609396,0.008828196
0.065682836,0.00884287
0.065756276,0.008857545
0.065829717,0.008872219
0.065903157,0.008886893
0.065976597,0.008901568
0.066050038,0.008916243
0.066123538,0.008930599
0.066197194,0.008944122
0.066270858,0.008957644
0.066344514,0.008971166
0.066418178,0.008984689
0.066491835,0.008998211
0.066565499,0.009011732
0.066639155,0.009025255
0.066712819,0.009038777
0.066786475,0.0090523
0.066860139,0.009065822
0.066933796,0.009079344
0.067007594,0.009092891
0.067098416,0.009109564
0.067224413,0.009132693
0.067370102,0.009159275
0.067517772,0.009184339
0.067665443,0.009209402
0.067813113,0.009234465
0.067960784,0.009259528
0.068108454,0.00928459
0.068256125,0.009309653
0.068403795,0.009334716
0.068551496,0.009359609
0.068699449,0.009382946
0.068847403,0.009406283
0.068995357,0.009429621
0.06914331,0.009452958
