x, y
0.032685656,0.000985211
0.033418105,0.004433498
0.034242114,0.007881784
0.03515768,0.011330038
0.035981688,0.013793114
0.037080366,0.01773399
0.037995932,0.020197033
0.03909461,0.022660109
0.040376398,0.026108363
0.041658187,0.029064028
0.042573753,0.030541861
0.043672431,0.033004937
0.044862667,0.034975358
0.046144455,0.036945813
0.047334691,0.038916267
0.04834181,0.040394099
0.049257377,0.041871932
0.050264496,0.043842353
0.051363173,0.044827597
0.052370292,0.046305429
0.053652087,0.047783262
0.055116986,0.049753683
0.056490333,0.051231516
0.057772128,0.052709348
0.059145474,0.054187181
0.060152593,0.055172425
0.06152594,0.056650257
0.062716176,0.057635468
0.063723295,0.058620679
0.064821973,0.059605922
0.066012209,0.060591133
0.067202439,0.061576344
0.068301116,0.062561587
0.069308241,0.063546798
0.070223802,0.06403942
0.071505596,0.06502463
0.072604268,0.066009841
0.074252284,0.066995085
0.075625631,0.067980295
0.076724308,0.068472917
0.077731434,0.069458128
0.07937945,0.070443339
0.080844349,0.071428582
0.082400813,0.072413793
0.083407938,0.072906415
0.084323499,0.073399004
0.085605293,0.073891625
0.086795523,0.073891625
0.087985753,0.073891625
0.08908443,0.073891625
0.090274672,0.073891625
0.09137335,0.073891625
0.092014241,0.073891625
