x,y,,,,
0.02718121,0.001393728,,,,
0.027353787,0.006968641,,,,
0.027440078,0.011149826,,,,
0.027440078,0.014401869,,,,
0.027612656,0.019976782,,,,
0.027612656,0.025087108,,,,
0.027612656,0.030197435,,,,
0.027698947,0.035307792,,,,
0.027698947,0.03902439,,,,
0.027698947,0.043670161,,,,
0.027785233,0.048780488,,,,
0.027785233,0.052961672,,,,
0.027871524,0.057607444,,,,
0.027871524,0.062253184,,,,
0.027871524,0.066898955,,,,
0.027957816,0.072009281,,,,
0.027957816,0.07572591,,,,
0.027957816,0.080836237,,,,
0.028044101,0.08641115,,,,
0.028130393,0.091056921,,,,
0.028216684,0.095238106,,,,
0.02830297,0.100813018,,,,
0.028389261,0.105923345,,,,
0.028475553,0.111498258,,,,
0.02864813,0.120325214,,,,
0.028734422,0.124970954,,,,
0.028906999,0.131010453,,,,
0.02899329,0.137049952,,,,
0.029165867,0.143554007,,,,
0.029252159,0.149593506,,,,
0.029424736,0.155632975,,,,
0.029597313,0.161207887,,,,
0.029769896,0.168641115,,,,
0.029942473,0.174216028,,,,
0.03011505,0.17932637,,,,
0.030287633,0.185365854,,,,
0.030460211,0.191405337,,,,
0.030719079,0.19698025,,,,
0.030891656,0.202090592,,,,
0.031064239,0.207200934,,,,
0.031409394,0.213704989,,,,
0.031581977,0.217886174,,,,
0.031840845,0.222996516,,,,
0.032099714,0.229036,,,,
0.032358583,0.234610912,,,,
0.032703737,0.240650412,,,,
0.032962606,0.245296167,,,,
0.033394057,0.249012781,,,,
0.034084372,0.253193966,,,,
0.034774686,0.256910564,,,,
0.035551292,0.260162607,,,,
0.036327898,0.262485477,,,,
0.037190795,0.264808362,,,,
0.038312561,0.267595819,,,,
0.039348036,0.269454118,,,,
0.040297219,0.271312433,,,,
0.041418985,0.273170732,,,,
0.042627037,0.275029031,,,,
0.043662511,0.276422759,,,,
0.044611694,0.277351916,,,,
0.04573346,0.278281074,,,,
0.047200381,0.280139373,,,,
0.048408438,0.281533101,,,,
0.049357621,0.281997672,,,,
0.050824541,0.2833914,,,,
0.052032599,0.283855987,,,,
0.052895491,0.284320558,,,,
0.054103548,0.285249715,,,,
0.0553116,0.286178857,,,,
0.056864812,0.287108014,,,,
0.058072863,0.288037171,,,,
0.059367206,0.288037171,,,,
0.06100671,0.289430899,,,,
0.061955893,0.289430899,,,,
0.06316395,0.290360041,,,,
0.064458294,0.290360041,,,,
0.065666345,0.290824628,,,,
0.06704698,0.291289199,,,,
0.068427615,0.29175377,,,,
0.069635661,0.292218356,,,,
0.070843718,0.292682927,,,,
0.072310644,0.293147498,,,,
0.073346119,0.293612084,,,,
0.07489933,0.294076655,,,,
0.076193674,0.294541226,,,,
0.077315434,0.294541226,,,,
0.078523491,0.295005812,,,,
0.079817835,0.295005812,,,,
0.080767012,0.295470383,,,,
0.081802486,0.295470383,,,,
0.08309683,0.295470383,,,,
0.084736339,0.295934954,,,,
0.08628955,0.295934954,,,,
0.087670179,0.295934954,,,,
0.088619368,0.295934954,,,,
0.089827414,0.295934954,,,,
0.091035472,0.295934954,,,,
0.092070946,0.295934954,,,,
