x,y
0.00017258,8381094.483
0.000776606,8381094.483
0.001466923,8388059.696
0.002157241,8388059.696
0.003365292,8388059.696
0.003365292,8388059.696
0.003969321,8388059.696
0.004745927,8388059.696
0.005436241,8388059.696
0.006126559,8381094.483
0.006989453,8374129.329
0.007852351,8367164.174
0.008628956,8360198.961
0.009405562,8346268.652
0.010268457,8325373.13
0.010958774,8311442.763
0.011649089,8297512.396
0.012339406,8276616.874
0.013029723,8255721.353
0.013720038,8234825.831
0.014496644,8200000
0.015359541,8165174.111
0.016049856,8130348.222
0.016740173,8088557.179
0.01725791,8053731.348
0.017948227,8011940.304
0.018465965,7970149.203
0.019328859,7914427.85
0.020019174,7851741.285
0.020623202,7797286.25
0.021297829,7737385.77
0.021904995,7677485.29
0.022444697,7606693.803
0.02305186,7535902.316
0.023524101,7465110.829
0.024131264,7394319.225
0.024603503,7323527.738
0.025075742,7263627.258
0.025615444,7187390.326
0.025952759,7122044.284
0.026559924,7034916.344
0.0269647,6969570.419
0.027369475,6898778.816
0.027639326,6833432.774
0.027774253,6762641.403
0.027909177,6686404.238
0.028044104,6621058.428
0.028381416,6550266.825
0.028651267,6474029.893
0.028988582,6403238.29
0.029190969,6327001.357
0.029460821,6256209.754
0.029730672,6169081.93
0.030000523,6098290.327
0.030337837,6016607.833
0.030607689,5924034.448
0.030810076,5847797.284
0.031079927,5766114.79
0.031349779,5684432.295
0.031552166,5602749.801
0.031889478,5521067.307
0.032024405,5444830.375
0.032294256,5368593.442
0.032496644,5286910.948
0.032766495,5188892.001
0.033103809,5101763.946
0.033441121,5041863.234
0.033710972,4976517.424
0.03411575,4922062.274
0.034722913,4856716.464
0.035262616,4791370.654
0.035802318,4731469.942
0.036544411,4666124.132
0.037353961,4600777.859
0.037961127,4551768.269
0.038635751,4497313.583
0.039377843,4453749.555
0.04011993,4399294.404
0.04099695,4344839.717
0.041873964,4295830.128
0.042683515,4252266.1
0.043425607,4203256.511
0.044235158,4165138.045
0.045044714,4127019.579
0.045786801,4088901.112
0.046596358,4050782.646
0.047405908,4012664.18
0.048080537,3985436.372
0.048822624,3947317.906
0.049564717,3920090.563
0.050576658,3876526.535
0.051386209,3849299.191
0.052263223,3805735.164
0.053072779,3783952.918
0.05388233,3751280.013
0.054691886,3724052.67
0.055501436,3696824.862
0.05637845,3664151.958
0.057188007,3636924.614
0.057997557,3609697.271
0.058807113,3587915.025
0.059616664,3560687.682
0.060358751,3533459.874
0.061505619,3495341.408
0.062450097,3473559.626
0.063529501,3440886.721
0.064406515,3419104.475
0.065350998,3391877.132
0.06636294,3364649.788
0.06717249,3342867.543
0.068049504,3315640.199
0.068993982,3293857.954
0.07014085,3266630.61
0.071220254,3233957.705
0.072232195,3212175.459
0.073109209,3190393.677
0.073986229,3168611.432
0.07479578,3146829.65
0.075740257,3130492.965
0.076887125,3103265.622
0.077764139,3081483.376
0.078843541,3059701.826
0.079855482,3037919.58
0.080934886,3010692.237
0.082149218,2983464.43
0.083565934,2956237.086
0.084780266,2939900.866
0.086062055,2923564.181
0.08714146,2912673.058
0.088220864,2896336.838
0.089367726,2890891.277
0.090716985,2896336.838
0.091526536,2896336.838
